NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,CÓDIGO INTERNO DE SUBLOCALIZACIÓN EN ALMACÉN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,TIPO DE PRODUCTO:(DEJARLO GENERAL PARA TODAS LAS REFACCIONES),COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS
A-5003-5217,Palpador M5 bola de rubí 2.5x30mm SM-5003-5217,"Bola de rubí M5 de Ø2,5 mm, vástago de carburo de tungsteno, L 30 mm, LTU 21 mm",RENISHAW,A-5003-5217,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$67.00,$90.00,USD,PIEZA,1,2
A-5003-5235,Palpador M5 bola de rubí 4x50mm SM-5003-5235,"Bola de rubí M5 Ø4 mm, vástago de carburo de tungsteno, L 50 mm",RENISHAW,A-5003-5235,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$86.00,$225.00,USD,PIEZA,1,2
A-5003-5236,Palpador M5 bola de rubí 5x50mm SM-5003-5236,"Bola de rubí M5 Ø5 mm, vástago de carburo de tungsteno, L 50 mm",RENISHAW,A-5003-5236,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$86.00,$225.00,USD,PIEZA,1,2
A-5003-9506,Palpador M2 bola de rubí 3x50mm SM-5003-9506,"Bola de rubí M2 de Ø3 mm, vástago de fibra de carbono, L 50 mm, LTU 47 mm",RENISHAW,A-5003-9506,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$230.00,$300.00,USD,PIEZA,1,2
A-5004-0422,Palpador M3 bola de rubí 3x10mm SM-5004-0422,"Bola de rubí M3 de Ø3 mm, vástago de acero inoxidable, L 10 mm, LTU 6,5 mm",RENISHAW,A-5004-0422,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$50.00,$65.00,USD,PIEZA,5,10
A-5004-2182,,PH20 Calibration Stylus,RENISHAW,A-5004-2182,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$73.00,$100.00,USD,PIEZA,1,1
A-5004-7589,"Palpador Cilindrico de acero cromado 1,5 x10,75 mm","Cilindro de acero cromado 1,5 mm, L 10,75 mm",RENISHAW,A-5004-7589,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$45.00,USD,PIEZA,1,2
A-5004-7590,"Cilindro de acero cromado 3 mm.  L 12,75 mm","Cilindro de acero cromado 3 mm.  L 12,75 mm",RENISHAW,A-5004-7590,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$26.00,$40.00,USD,PIEZA,1,1
USB-PRS-3MM-XL-ZIR,PALPADOR 3 MM ZIRCON BALL PROBE  PARA BRAZO ARTICULADO,3 MM ZIRCON BALL PROBE (1 1/4´´ THREAD) FOR USB PARA BRAZO ARTICULADO EDGE,METROLOGYWORKS,BRAZO ARTICULADO EDGE,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,METROLOGYWORKS,GENERAL ,$243.00,$450.00,USD,PIEZA,2,4
USB-PRS-6MM-ZIR,PALPADOR 6 MM ZIRCON BALL PROBE  PARA BRAZO ARTICULADO ,6 MM ZIRCON BALL PROBE (1 1/4´´ THREAD) FOR USB PARA BRAZO ARTICULADO EDGE,METROLOGYWORKS,BRAZO ARTICULADO EDGE,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,METROLOGYWORKS,GENERAL ,$243.00,$450.00,USD,PIEZA,2,4
