CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
CONECTORES,FILTERS SMD COMMIN MODE CHOKE | BOBINA PARA TARJETA SUPERIIOR,20,MOUSER ELECTRONICS,MOUSER ELECTRONICS,673-P0353NL,P0353NL,,,,
TARJETAS,SERVO DRIVE MINI MAESTRO 60X14/28 (LK2000),,CONTROL TECHNIQUES,,70000050607000,-,,,,
TARJETAS,Tarjeta PWM / 160 DEA | Para bravos  control F1,,DEA,,G56116501,-,,,,
TARJETAS,TARJETA AJUSTE LECTOR HEIDENHEIN ANALOGICO,,DEA,,AKS2239A,-,,,,
TARJETAS,TARJETA EXTENSORAS BRAVO CONTRO F HEXAGON METROLOGY (DIGITAL),,DEA,,G58712105,-,,,,
TARJETAS,EPROMS LEV 3-F V.12,,,,B9418AB NM27C256Q200,-,,,,
TARJETAS,FUENTE DE PODER 5V | 12V,,BTC 11V0,,-,-,,,,
TARJETAS,"Fuente de Poder PWM control p/ Tutor 5V,15V,-15V 65W",,-,,NLP65-7610,-,,,,
TARJETAS,"FUENTE DE VOLTAJE DE CONTROL B6C. ORIGEN BENTELER, REPARADA CON POWERBOX, SIN PRUEBA",,DEA,,G51073300,-,,,,
TARJETAS,Magnetic Contactor CC32S / D24 / 2N02NC,,CARLO GAVAZZI,,1336017731,-,,,,
TARJETAS,Tarjeta Copley controls corp. 180-405-276-1,,Copley controls corp.,,800-175B,-,,,,
TARJETAS,Tarjeta DEA,,DEA,,G17330700,-,,,,
TARJETAS,Tarjeta DEA control F1,,AXIS DISTRIBUTION BOARD,,G59776300-1-2-3,-,,,,
TARJETAS,Tarjeta Lev 2 control F1 (A PRUEBA/NO ESTATUS),,DEA,,G56113602-3-4-5,-,,,,
TARJETAS,Tarjeta NFS50-9336,,Computer products,,NFS50-9336,-,,,,
TARJETAS,Tarjeta XT3 DEA control F,,DEA,,G561170-01-02-03-04,-,,,,
TARJETAS,Tarjetas Analógica XYZ para CMM Xcel (usadas y funcionales),,Brown&Sharpe,,80-410-206,-,,,,
